year,life_expectancy_years,infant_mortality_per_1000,maternal_mortality_per_100k,fertility_rate_births_per_woman,measles_immunization_pct,health_spending_pct_gdp,adult_literacy_pct,primary_enrolment_pct_gross,secondary_enrolment_pct_gross,education_spending_pct_gdp,gdp_per_capita_usd,gdp_per_capita_ppp_usd,gdp_growth_pct,inflation_pct,remittances_received_usd,poverty_headcount_national_pct,gini_index,population_total,urban_population_pct
1960,34.574,157.2,,6.246,,,,,,,,,,,,,,398060.0,9.06718449184662
1961,35.063,156.0,,6.228,,,,,,,,,,,,,,408930.0,8.92614083353027
1962,35.599,154.9,,6.213,,,,,,,,,,1.78761787610517,,,,420163.0,8.83801039069747
1963,36.086,153.8,,6.202,,,,,,,,,,4.61612825298721,,,,431757.0,8.82123739287275
1964,36.579,152.8,,6.195,,,,,,,,,,-4.53565378123679,,,,443687.0,8.97559371363964
1965,37.12,151.8,,6.192,,,,,,,,,,1.21803662168856,,,,455952.0,9.33217246916084
1966,37.559,150.6,,6.183,,,,,,,94.3662144947658,,,0.23908192532822,,,,468516.0,9.86172838079784
1967,38.063,149.3,,6.206,,,,,,,96.9604868849254,,0.0,1.40721895381677,,,,481588.0,10.5368279617028
1968,38.533,148.2,,6.221,,,,,,,83.1064852758912,,9.57614347228663,4.17875343012887,,,,495269.0,11.3300377250278
1969,39.004,147.1,,6.246,,,,,,,88.662202161031,,2.43552288111326,5.01204093884017,,,,509440.0,12.2139241839249
1970,39.532,145.6,,6.257,,,,,,,99.7816919772448,,6.15384657262285,-1.98509387961995,,,,524105.0,13.1610538515464
1971,40.048,144.1,,6.33,,,,21.4209804534912,6.97776985168457,,103.318322288749,,-0.0658770394050947,3.05622578045008,,,,539388.0,14.1439932410444
1972,40.549,142.4,,6.366,,,,21.1306495666504,7.31401014328003,,106.524604282625,,0.241704785011237,8.69811990079435,,,,555370.0,15.1353088655709
1973,41.088,140.6,,6.405,,,,22.7868404388428,7.45120000839233,,131.449182060787,,9.25032925345546,6.91860844589019,,,,571991.0,16.1269540216536
1974,41.676,138.7,,6.415,,,,23.5877895355225,8.53337955474854,,162.618334686551,,5.87879361029783,9.23631035966853,,,,589085.0,17.287158390375
1975,42.192,136.6,,6.428,,,,24.7052898406982,8.43451023101807,,189.808393377344,,12.3934290906923,25.9249999994999,,,,606821.0,18.7110000404511
1976,42.876,134.5,,6.434,,,,26.2349090576172,8.72085952758789,,179.313963291107,,7.35122573247521,17.0273310832519,,,,625667.0,20.3178993884755
1977,43.366,132.5,,6.433,,,,27.2650508880615,9.77758979797363,,213.842543162023,,3.43957605958968,12.3897308301286,,,,645770.0,22.0398278247921
1978,43.573,130.4,,6.421,,,,29.4936008453369,9.86633014678955,,257.581042237291,,6.31644630976179,8.85534591214091,345200.3598,,,667103.0,23.8087567397443
1979,44.517,128.4,,6.411,,,,33.2954406738281,10.1267595291138,,300.258528034397,,-1.32818316164975,6.12895770734282,492476.2845,,,689781.0,25.5566575236759
1980,44.977,126.2,,6.414,69.0,,,37.2815895080566,10.7506198883057,,337.692534389517,,6.27007960556354,6.82461565247797,390921.8907,,,713913.0,27.2155015669304
1981,44.489,123.9,,6.399,70.0,,,45.0447082519531,11.1865301132202,,295.982064548083,,3.32189401064942,5.94422700614445,289367.497,,,739125.0,28.7172602598516
1982,46.25,121.3,,6.396,71.0,,,48.6698417663574,11.811710357666,,282.141307055388,,-0.764582637150042,10.8558454553089,187813.1032,,,765753.0,29.9939049927831
1983,46.892,118.7,,6.393,70.0,,,51.4290199279785,13.391679763794,,268.649299816803,,10.8832277675592,10.6363036761385,701136.1122,,,794525.0,30.9844971504735
1984,47.513,116.0,,6.385,79.0,,,54.5112800598145,14.9694995880127,,214.794357389928,,3.53525730169937,22.0984594145327,,,,825631.0,31.7741376923283
1985,48.151,113.2,1454.0,6.357,75.0,,,56.316478729248,15.8861503601074,4.29514980316162,262.816616745779,,-0.812264660562306,18.319884874273,,,,858874.0,32.4540605630479
1986,48.798,110.3,1401.0,6.344,62.0,,,56.6627311706543,15.2643804550171,3.48473000526428,207.654408714945,,4.09107074099691,56.560172013504,,,,894019.0,33.0504584367687
1987,49.392,107.5,1360.0,6.3,88.0,,,55.4574813842773,14.7030897140503,,236.954802725846,,2.45433259678632,23.5291669556941,,,,931091.0,33.5921287081256
1988,50.146,104.8,1302.0,6.258,80.0,,,53.5487403869629,14.2409601211548,,274.874465999589,,4.47682692076357,11.6905868876763,,,,970160.0,34.1078687717537
1989,50.725,102.1,1258.0,6.254,85.0,,,50.1887016296387,14.646650314331,2.97409009933472,280.929809553919,,5.89572187264736,8.27501608751592,,,,1011357.0,34.6264760222881
1990,51.278,99.5,1207.0,6.246,86.0,,,50.5561599731445,15.0076599121094,2.82583999633789,300.639895740381,1409.3272189486,3.55887936756983,12.1677841130696,,,,1054696.0,35.1767478543638
1991,51.857,96.9,1167.0,6.191,87.0,,,50.9835510253906,15.4440202713013,3.78061008453369,627.578919318827,1440.43973903083,3.10703922385581,8.64234325973438,,,,1099959.0,35.7874816626157
1992,52.477,94.3,1115.0,6.111,83.0,,,50.966251373291,15.7997798919678,1.16983997821808,623.485927783598,1462.38688927487,3.37868879121812,9.48654250617163,,,,1145582.0,36.4874748416791
