year,infant_mortality_per_1000
1960,157.2
1961,156.0
1962,154.9
1963,153.8
1964,152.8
1965,151.8
1966,150.6
1967,149.3
1968,148.2
1969,147.1
1970,145.6
1971,144.1
1972,142.4
1973,140.6
1974,138.7
1975,136.6
1976,134.5
1977,132.5
1978,130.4
1979,128.4
1980,126.2
1981,123.9
1982,121.3
1983,118.7
1984,116.0
1985,113.2
1986,110.3
1987,107.5
1988,104.8
1989,102.1
1990,99.5
1991,96.9
1992,94.3
1993,91.6
1994,88.9
1995,86.2
1996,83.5
1997,80.9
1998,78.3
1999,75.8
2000,73.3
2001,70.9
2002,68.5
2003,66.1
2004,63.8
2005,61.5
2006,59.4
2007,57.3
2008,55.3
2009,53.4
2010,51.5
2011,49.8
2012,48.1
2013,46.5
2014,45.0
2015,43.5
2016,42.1
2017,40.7
2018,39.4
2019,38.2
2020,37.0
2021,35.9
2022,34.7
2023,33.7
2024,32.7
