year,population_total
1960,398060.0
1961,408930.0
1962,420163.0
1963,431757.0
1964,443687.0
1965,455952.0
1966,468516.0
1967,481588.0
1968,495269.0
1969,509440.0
1970,524105.0
1971,539388.0
1972,555370.0
1973,571991.0
1974,589085.0
1975,606821.0
1976,625667.0
1977,645770.0
1978,667103.0
1979,689781.0
1980,713913.0
1981,739125.0
1982,765753.0
1983,794525.0
1984,825631.0
1985,858874.0
1986,894019.0
1987,931091.0
1988,970160.0
1989,1011357.0
1990,1054696.0
1991,1099959.0
1992,1145582.0
1993,1188365.0
1994,1227226.0
1995,1264313.0
1996,1301410.0
1997,1338889.0
1998,1376987.0
1999,1415779.0
2000,1455084.0
2001,1495011.0
2002,1535691.0
2003,1577611.0
2004,1621312.0
2005,1667037.0
2006,1715275.0
2007,1765774.0
2008,1817852.0
2009,1871422.0
2010,1926630.0
2011,1983784.0
2012,2043094.0
2013,2103820.0
2014,2164528.0
2015,2224529.0
2016,2283769.0
2017,2342189.0
2018,2399632.0
2019,2456844.0
2020,2515733.0
2021,2576010.0
2022,2636470.0
2023,2697845.0
2024,2759988.0
